epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,938.74,0.91129,1.4029,1.47578,1.08665,0.41288,0.70882,0.37616,0.2895,0.30733,0.7387,0.33594,0.21069,0.84231,1.14992,1.37209,1.07242,0.000247563,0.000247563,0.000247563
63,953.513,0.8974,1.45251,1.55731,1.08744,0.34338,0.74615,0.30719,0.22899,0.3377,0.71922,0.2948,0.16847,0.84965,1.21178,1.37909,1.06769,0.000241375,0.000241375,0.000241375
64,968.52,0.88156,1.37716,1.43568,1.07605,0.47236,0.60614,0.3833,0.29273,0.4649,0.58894,0.36669,0.20437,0.80928,1.13018,1.33511,1.05096,0.000235188,0.000235188,0.000235188
65,983.322,0.84496,1.3058,1.43462,1.07128,0.33426,0.78715,0.45492,0.3472,0.30387,0.75729,0.40534,0.23661,0.83694,1.13278,1.32511,1.06979,0.000229,0.000229,0.000229
66,998.764,0.88185,1.43676,1.47745,1.06531,0.41984,0.6601,0.391,0.29585,0.40428,0.62301,0.35628,0.22286,0.85677,1.12918,1.31857,1.07213,0.000222813,0.000222813,0.000222813
67,1013.63,0.85844,1.41574,1.723,1.05922,0.42294,0.67823,0.4409,0.36243,0.41536,0.65774,0.42994,0.25327,0.77545,1.09807,1.30863,1.03395,0.000216625,0.000216625,0.000216625
68,1029.12,0.85851,1.27695,1.52882,1.06321,0.42581,0.65043,0.45065,0.35131,0.41059,0.61528,0.42282,0.2471,0.7701,1.05041,1.32578,1.02325,0.000210437,0.000210437,0.000210437
69,1043.95,0.86508,1.2559,1.51223,1.08605,0.33922,0.81616,0.35892,0.27515,0.33436,0.79494,0.34118,0.19736,0.80697,1.10682,1.31111,1.04731,0.00020425,0.00020425,0.00020425
70,1058.75,0.86667,1.26402,1.54755,1.07801,0.33081,0.83587,0.38841,0.29323,0.33431,0.77907,0.37102,0.21328,0.80522,1.11181,1.32576,1.04041,0.000198063,0.000198063,0.000198063
71,1073.58,0.82084,1.23073,1.48792,1.06658,0.33237,0.81912,0.41249,0.3251,0.32828,0.80589,0.40397,0.23546,0.77096,1.05673,1.28208,1.02141,0.000191875,0.000191875,0.000191875
72,1088.58,0.83518,1.27739,1.42215,1.04984,0.3512,0.79452,0.42247,0.33121,0.3474,0.78358,0.41824,0.24446,0.75025,1.04366,1.27362,1.01163,0.000185688,0.000185688,0.000185688
73,1103.47,0.82808,1.22277,1.43171,1.02908,0.3733,0.80845,0.40355,0.31813,0.37078,0.79625,0.39914,0.24008,0.75218,1.01506,1.25987,1.00881,0.0001795,0.0001795,0.0001795
74,1118.28,0.80217,1.22398,1.3294,1.02308,0.3759,0.7803,0.47444,0.38229,0.35859,0.73752,0.45949,0.29161,0.76236,1.07944,1.26258,1.00819,0.000173313,0.000173313,0.000173313
75,1133.71,0.80946,1.22467,1.48359,1.02381,0.36486,0.8351,0.40512,0.32962,0.36207,0.8252,0.40127,0.24942,0.73103,0.99694,1.24531,0.99725,0.000167125,0.000167125,0.000167125
76,1148.64,0.81617,1.26205,1.53768,1.06153,0.30129,0.89811,0.47274,0.36558,0.28597,0.86385,0.43323,0.26486,0.72388,1.01409,1.27411,0.99297,0.000160938,0.000160938,0.000160938
77,1163.45,0.77611,1.17768,1.39804,1.00858,0.30605,0.89833,0.42132,0.32943,0.28745,0.8631,0.3739,0.2474,0.71758,0.9794,1.25746,0.99399,0.00015475,0.00015475,0.00015475
78,1178.33,0.76795,1.17873,1.40133,1.00867,0.36047,0.82782,0.42792,0.33097,0.3427,0.78761,0.38615,0.24954,0.70944,0.9557,1.22796,0.99036,0.000148563,0.000148563,0.000148563
79,1193.1,0.75552,1.14283,1.43608,1.01327,0.37376,0.79728,0.39228,0.31684,0.3578,0.7566,0.37289,0.24443,0.69887,0.97855,1.22969,0.981,0.000142375,0.000142375,0.000142375
80,1207.92,0.77425,1.18837,1.36979,1.02635,0.36326,0.8418,0.40772,0.32665,0.35733,0.82795,0.40203,0.23977,0.69043,0.95879,1.2262,0.98021,0.000136187,0.000136187,0.000136187
81,1222.85,0.74986,1.20966,1.38608,1.01635,0.35891,0.8565,0.40345,0.31859,0.3527,0.84035,0.39858,0.22406,0.70316,0.95475,1.22165,0.9858,0.00013,0.00013,0.00013
82,1237.59,0.78565,1.1329,1.57018,1.03435,0.38687,0.84664,0.43115,0.33843,0.37233,0.80635,0.415,0.23965,0.6996,0.94211,1.23237,0.98452,0.000123812,0.000123812,0.000123812
83,1252.38,0.77636,1.19064,1.44393,1.02123,0.35162,0.83052,0.45475,0.36632,0.35483,0.81413,0.43977,0.2638,0.67726,0.91269,1.25127,0.97934,0.000117625,0.000117625,0.000117625
84,1267.31,0.75012,1.11044,1.41586,1.00344,0.36529,0.85078,0.407,0.31506,0.39421,0.74125,0.397,0.23171,0.68368,0.9304,1.22819,0.97461,0.000111438,0.000111438,0.000111438
85,1282.16,0.74102,1.10425,1.42485,1.00657,0.29278,0.93142,0.42564,0.33388,0.34383,0.83083,0.41606,0.23921,0.70986,0.94577,1.22534,0.98529,0.00010525,0.00010525,0.00010525
86,1297.02,0.73599,1.07715,1.32056,1.00034,0.3663,0.84275,0.47049,0.38882,0.36277,0.83161,0.46129,0.27286,0.6782,0.93855,1.21924,0.96772,9.90625e-05,9.90625e-05,9.90625e-05
87,1311.79,0.74176,1.09007,1.40554,1.00662,0.39044,0.80464,0.42019,0.33375,0.38774,0.79441,0.41074,0.24438,0.6965,0.94431,1.215,0.9839,9.2875e-05,9.2875e-05,9.2875e-05
88,1326.58,0.72936,1.08077,1.29282,0.99607,0.36908,0.82389,0.47773,0.37658,0.36466,0.81264,0.47344,0.29145,0.66923,0.91762,1.20811,0.9714,8.66875e-05,8.66875e-05,8.66875e-05
89,1341.53,0.71869,1.08733,1.36676,0.9932,0.34567,0.88437,0.42395,0.33805,0.34213,0.88069,0.42033,0.25924,0.64808,0.88407,1.1992,0.961,8.05e-05,8.05e-05,8.05e-05
90,1356.31,0.69751,1.1282,1.39144,0.97661,0.35165,0.8751,0.42588,0.34068,0.34619,0.85854,0.42063,0.2593,0.64275,0.88409,1.19935,0.9569,7.43125e-05,7.43125e-05,7.43125e-05
91,1372.78,0.7078,0.99167,1.47388,1.00959,0.37483,0.86217,0.40667,0.33691,0.35907,0.8262,0.39085,0.24699,0.64641,0.87972,1.21807,0.95347,6.8125e-05,6.8125e-05,6.8125e-05
92,1387.43,0.63289,0.87799,2.05026,0.91972,0.36889,0.87167,0.41204,0.33051,0.35836,0.82952,0.39839,0.24163,0.65103,0.87546,1.214,0.95537,6.19375e-05,6.19375e-05,6.19375e-05
93,1402.34,0.69026,0.92547,1.38673,0.97252,0.3638,0.87625,0.4692,0.37623,0.3493,0.83556,0.45078,0.27708,0.65183,0.89213,1.21229,0.95525,5.575e-05,5.575e-05,5.575e-05
94,1417.03,0.6662,0.91449,1.34781,0.9636,0.37609,0.87645,0.41236,0.3286,0.34651,0.83999,0.39518,0.23181,0.6541,0.90921,1.20533,0.95266,4.95625e-05,4.95625e-05,4.95625e-05
95,1431.75,0.67075,0.91665,1.3274,0.97206,0.30258,0.9651,0.47284,0.38018,0.29831,0.95699,0.46932,0.29102,0.64198,0.88263,1.19687,0.94994,4.3375e-05,4.3375e-05,4.3375e-05
96,1446.51,0.68713,0.85683,1.38392,0.97653,0.29164,0.95536,0.41288,0.33855,0.29208,0.92115,0.40444,0.26399,0.64485,0.88241,1.19709,0.95245,3.71875e-05,3.71875e-05,3.71875e-05
97,1461.17,0.60264,0.87011,2.2314,0.93839,0.31154,0.92795,0.4641,0.37883,0.31514,0.90831,0.45415,0.28741,0.62614,0.86046,1.19403,0.94178,3.1e-05,3.1e-05,3.1e-05
98,1475.87,0.64662,0.93053,1.37901,0.95833,0.31712,0.92743,0.41943,0.33808,0.32892,0.91016,0.40479,0.25047,0.62922,0.86594,1.20547,0.94129,2.48125e-05,2.48125e-05,2.48125e-05
99,1490.51,0.65498,0.91597,1.53917,1.00415,0.31102,0.92272,0.40634,0.3308,0.30659,0.90939,0.39563,0.24843,0.63314,0.87641,1.2087,0.94366,1.8625e-05,1.8625e-05,1.8625e-05
100,1505.37,0.62997,0.89545,1.30431,0.9559,0.33143,0.91818,0.46673,0.37591,0.32684,0.90438,0.45503,0.29512,0.62503,0.87305,1.20416,0.94016,1.24375e-05,1.24375e-05,1.24375e-05
